id,href,value,name,type,content,related,tags,excerpt,hasdetailedpage
Machine Learning,#machine-learning,,,,Ability to learn without explicitly being programmed,,,,
Machine Learning.Terminology,#terminology,,,,,,,,
Machine Learning.Terminology.Workflow,#workflow,,,,,,,,
Machine Learning.Terminology.Workflow.1 Gather Data,#gather-data,,,,,,,,
Machine Learning.Terminology.Workflow.2 Explore Data,#explore-data,,,,,,,,
Machine Learning.Terminology.Workflow.2-5 Choose a Model,#choose-a-model,,,,,,,,
Machine Learning.Terminology.Workflow.3 Prepare Data,#prepare-data,,,,,,,,
Machine Learning.Terminology.Workflow.4 Build Train and Evaluate Model,#build-train-evaluate,,,,,,,,
Machine Learning.Terminology.Workflow.5 Tune Hyperparameters,#tune-hyperparameters,,,,,,,,
Machine Learning.Terminology.Workflow.6 Deploy Model,#deploy-model,,,,,,,,
Machine Learning.Terminology.Multi-Class Neural Nets,#multi-class-neural-nets,,,,,,,,
Machine Learning.Terminology.Multi-Class Neural Nets.One vs All,#one-vs-all,,,,"One vs. all provides a way to leverage binary classification. Given a classification problem with N possible solutions, a one-vs.-all solution consists of N separate binary classifiers - one binary classifier for each possible outcome. During training, the model runs through a sequence of binary classifiers, training each to answer a separate classification question.<ol><li>Is this image an apple? No.</li><li>Is this image a bear? No.</li><li>Is this image candy? No.</li><li>Is this image a dog? Yes.</li><li>Is this image an egg? No.</li></ol>",,,,
Machine Learning.Terminology.Multi-Class Neural Nets.Softmax,#softmax,,,,"Recall that logistic regression produces a decimal between 0 and 1.0. For example, a logistic regression output of 0.8 from an email classifier suggests an 80% chance of an email being spam and a 20% chance of it being not spam. Clearly, the sum of the probabilities of an email being either spam or not spam is 1.0.<br>Softmax extends this idea into a multi-class world. That is, Softmax assigns decimal probabilities to each class in a multi-class problem. Those decimal probabilities must add up to 1.0. This additional constraint helps training converge more quickly than it otherwise would.<br><table><thead><tr><td>Class</td><td>Probability</td></tr></thead><tbody><tr><td>apple</td><td>0.001</td></tr><tr><td>bear</td><td>0.04</td></tr><tr><td>candy</td><td>0.008</td></tr><tr><td>dog</td><td>0.95</td></tr><tr><td>egg</td><td>0.001</td></tr></tbody></table>",,,,
Machine Learning.Terminology.Evaluation Metrics,#evaluation-metrics,,,,,,,,
Machine Learning.Terminology.Evaluation Metrics.Confusion Matrix,#confusion-matrix,,,,,,,,
Machine Learning.Terminology.Evaluation Metrics.Accuracy,#accuracy,,,Function,"Accuracy = Number of correct predictions/Total number of predictions = TP + TN / TP + TN + FP + FN <br>Where TP = True Positives, TN = True Negatives, FP = False Positives, and FN = False Negatives.",,,,
Machine Learning.Terminology.Evaluation Metrics.Precision and Recall,#precision-recall,,,Function,Precision attempts to answer the following question: <br>What proportion of positive identifications was actually correct? <br>Precision = TP / TP + FP <br>Recall attempts to answer the following question: <br>What proportion of actual positives was identified correctly? <br>Recall = TP / TP + FN,,,,
Machine Learning.Terminology.Evaluation Metrics.F1 Score,#f1-score,,,Measure,"F1 is an overall measure of a model's accuracy that combines precision and recall, in that weird way that addition and multiplication just mix two ingredients to make a separate dish altogether. That is, a good F1 score means that you have low false positives and low false negatives, so you're correctly identifying real threats and you are not disturbed by false alarms. An F1 score is considered perfect when it's 1, while the model is a total failure when it's 0. <br>F1 = 2 x precision x recall / (precision + recall)",,,,
